half,quarter,poss,down,to_go,playtype,yards,outcome,one,two
1,1,Madonna,1st,10,Kickoff,,,1st and 10 at MADONNA35,"W. Stoyanovich kickoff 54 yards to the AVEMARIA11, Roman Newkirk return 38 yards to the AVEMARIA49, out-of-bounds."
1,1,Ave Maria,1st,10,Pass,-3,,1st and 10 at AVEMARIA49,Kristian Marks pass complete to Joshua Jenkins for loss of 3 yards to the AVEMARIA46 (Julius Adams).
1,1,Ave Maria,2nd,13,Rush,7,,2nd and 13 at AVEMARIA46,Q. Mauricette rush for 7 yards to the MADONNA47 (Dalen Cobb).
1,1,Ave Maria,3rd,6,Timeout,,,3rd and 6 at MADONNA47,"Timeout Ave Maria, clock 13:21."
1,1,Ave Maria,3rd,6,Pass,47,1st Down,3rd and 6 at MADONNA47,"Kristian Marks pass complete to Brock Summers for 47 yards to the MADONNA0, 1ST DOWN AVEMARIA, TOUCHDOWN, clock 13:14."
1,1,Ave Maria,1st,GOAL,Rush,,,1st and GOAL at MADONNA03,Kristian Marks rush attempt failed.
1,1,Ave Maria,1st,GOAL,Kickoff,,Touchback,1st and GOAL at AVEMARIA35,"Kieran O'Neil kickoff 65 yards to the MADONNA0, touchback."
1,1,Madonna,1st,10,Rush,1,,1st and 10 at MADONNA25,"A. Brantley IV rush for 1 yard to the MADONNA26, out-of-bounds."
1,1,Madonna,2nd,9,Rush,1,,2nd and 9 at MADONNA26,Nik Allgood rush for 1 yard to the MADONNA27 (Shane O'Brien).
1,1,Madonna,3rd,8,Pass,,Incomplete,3rd and 8 at MADONNA27,A. Brantley IV pass incomplete to Nik Allgood.
1,1,Madonna,4th,8,Punt,,Penalty,4th and 8 at MADONNA27,"W. Stoyanovich punt 36 yards to the AVEMARIA37, fair catch by Roman Newkirk, PENALTY MADONNA kick catching interference 12 yards to the AVEMARIA49, 1st and 10, AVEMARIA ball on AVEMARIA49."
1,1,Ave Maria,1st,10,Rush,2,,1st and 10 at AVEMARIA49,Q. Mauricette rush for 2 yards to the MADONNA49 (Carl Ware).
1,1,Ave Maria,2nd,8,Rush,9,1st Down,2nd and 8 at MADONNA49,"Q. Mauricette rush for 9 yards to the MADONNA40, 1ST DOWN AVEMARIA (Carl Ware)."
